way_id,coordinates
1,"105.8656403,21.0397556;105.8566741,21.0361941;105.8552806,21.0356406;105.855188,21.0355451"
2,"105.8471632,21.0398914;105.8471616,21.0397649;105.8471573,21.0394144;105.8471553,21.0392575;105.8471544,21.0391811;105.8471503,21.0388569;105.8471498,21.0388166;105.8471484,21.0387021"
3,"105.8375869,21.0262385;105.8374665,21.0263027;105.8370144,21.0265438;105.8363651,21.0268901;105.8361859,21.0269857;105.8361365,21.0270099;105.8360266,21.0270714;105.835883,21.0271427;105.8357768,21.0272036"
4,"105.842177,21.0188567;105.8422982,21.0188563;105.8435559,21.0188748;105.8440234,21.0188761"
5,"105.8532306,21.025479;105.8534134,21.0254045;105.8543107,21.025144;105.8544006,21.0251189;105.8550051,21.024953;105.8551509,21.0249161"
6,"105.8887696,21.0541461;105.8888531,21.0540411;105.8890416,21.0537806;105.8892827,21.0534673"
7,"105.8939735,21.0614513;105.8938695,21.0613489;105.8936316,21.0611148;105.8932364,21.0607258"
8,"105.7783535,21.2077924;105.7787812,21.2076209;105.7795871,21.2073516;105.7804961,21.207081"
9,"105.7783535,21.2077924;105.7777971,21.2080429;105.7773257,21.2082943;105.776936,21.208537;105.7767373,21.2086783;105.776519,21.2088502;105.7762257,21.2090781;105.7758651,21.2094001;105.775535,21.2097324;105.7751596,21.210163"
10,"105.8102609,21.200387;105.8101213,21.2004232;105.8094168,21.2006229;105.8077732,21.2010821;105.8043693,21.2020334;105.8011814,21.2029273;105.7988236,21.2036096;105.7984785,21.2037098;105.7981608,21.2038014;105.7978472,21.2039023;105.7973879,21.2040954;105.7970146,21.2042659;105.7966713,21.204474;105.7966502,21.2044878;105.7942581,21.2060505;105.7927559,21.2069506;105.7924766,21.2071273;105.7923725,21.2071931;105.7920328,21.2074359;105.79112,21.2079854;105.7895496,21.2089913;105.7894233,21.2090693;105.7887884,21.2094614;105.788088,21.2098996;105.787809,21.2100827;105.7874878,21.2102934;105.7873251,21.2103945;105.7867234,21.2107685;105.7865562,21.2108724;105.7864764,21.210922;105.7853379,21.2116426;105.7850709,21.2118122;105.7824422,21.2134721;105.7823917,21.2135169;105.7822995,21.2136027;105.7821008,21.2138333;105.7818258,21.2142;105.7817745,21.2142693;105.7817444,21.2143105;105.7815812,21.2145321;105.7814283,21.2147182;105.7812722,21.2148691;105.780302,21.2154284;105.7799809,21.2156152;105.7788958,21.2162301;105.7788335,21.2162654"
11,"105.8548244,21.035533;105.8547215,21.0355757;105.8546423,21.0355999;105.854587,21.0355995;105.8545278,21.0355862;105.8544842,21.0355661;105.8544455,21.0355405;105.8544094,21.0355008;105.8543872,21.0354537;105.8543771,21.0354011"
12,"105.8559243,21.0326476;105.8564172,21.0315626;105.8564395,21.0315136;105.8565198,21.0313238;105.8567475,21.030865;105.8567828,21.0307879;105.857199,21.0298779;105.8572501,21.0297668;105.8573854,21.0294855;105.8574054,21.0294439;105.8574296,21.0293793;105.857538,21.0291314"
13,"105.8421117,20.965578;105.8422711,20.9655696;105.842693,20.9655674;105.8429226,20.9655397;105.8431022,20.9655381;105.8436879,20.9655398;105.8439315,20.9655372;105.8443474,20.965538;105.844525,20.9655336;105.8447259,20.9655266"
14,"105.8653996,21.0430106;105.8652934,21.0421459;105.8652012,21.0414737;105.8651914,21.0413688;105.8651888,21.0412667;105.8651888,21.0412543;105.8651885,21.0411493;105.8651997,21.0410196;105.8652234,21.0408965;105.8652505,21.0408004;105.8653844,21.0405012;105.8654001,21.0404662;105.8654607,21.0403274;105.865493,21.04026;105.8655121,21.0402202"
15,"105.892889,21.0629493;105.8927606,21.0625051;105.892636,21.0623279;105.8925096,21.0622044;105.8924344,21.0621179;105.8923844,21.0620841;105.8922083,21.0619829;105.8916628,21.0616771;105.8912058,21.061403;105.8911523,21.0613785;105.8910382,21.0613473;105.8905404,21.0611148;105.8899913,21.0608806;105.8898391,21.0608022;105.8896328,21.0607176;105.8886173,21.0602597;105.8885435,21.0602135;105.8884522,21.0601766;105.8882971,21.0601211;105.8882254,21.060102;105.8879588,21.0599959;105.8877042,21.0598894;105.8875895,21.0598356;105.8874582,21.0597875;105.8873755,21.0597476;105.8872297,21.0596697;105.886992,21.0595638;105.886618,21.0593494;105.8863983,21.0592065;105.8860476,21.0589654"
16,"105.8847396,21.0507516;105.884675,21.0507855;105.8846079,21.0508208"
17,"105.8785472,21.0397362;105.8786658,21.0398418;105.878794,21.0399604;105.8790425,21.0401919;105.8791614,21.040307;105.8793515,21.0405039;105.8799347,21.041041;105.8800709,21.0411756;105.8802944,21.0413863;105.8804384,21.0415221;105.8808908,21.0419487;105.8812479,21.0422854;105.881293,21.042328;105.8814538,21.0424796"
18,"105.918047,20.9908753;105.9180411,20.991009;105.9180243,20.991305;105.9180013,20.991437;105.9179599,20.9915622;105.9178153,20.9919491;105.9177261,20.9921269;105.917595,20.9922684;105.9173636,20.9924686;105.9173423,20.9924827;105.9172465,20.9925461;105.9170498,20.9926113;105.9168607,20.992634;105.916716,20.9926314;105.9165596,20.9926224;105.9164087,20.9926351;105.9162061,20.9926646;105.9159707,20.9927116;105.9150837,20.9929259;105.9147099,20.9930333;105.9138978,20.9933396;105.913495,20.993503;105.9132213,20.9936068;105.9129873,20.9936702;105.9126836,20.993751;105.9125321,20.9938139;105.91239,20.9939093;105.912254,20.9940687;105.9121046,20.9942778;105.9118122,20.9947974;105.9117386,20.9949719;105.9117006,20.9951101;105.9116935,20.9952138;105.9117129,20.9953512;105.9117611,20.9954875;105.9118492,20.9956828;105.91188,20.9958449;105.9118872,20.9959845;105.9118319,20.99657;105.9118032,20.9967141;105.9116858,20.9971393;105.9115806,20.9975303;105.9114529,20.9979624;105.9113387,20.9982868;105.9110729,20.999001;105.9109146,20.9994512;105.9107973,20.9998279;105.910728,21.0001234;105.9106447,21.0003479;105.9098269,21.002083;105.9097884,21.0021647"
19,"105.8616231,21.0203807;105.8616141,21.0200667;105.8615967,21.0195804"
20,"105.8438987,21.0280896;105.8440239,21.0280223;105.8440655,21.0279723;105.8440851,21.0279312;105.8440937,21.0278936;105.8440826,21.0278328;105.8440687,21.0277872;105.8439341,21.0274055;105.84381,21.0270533;105.8437592,21.0269191"
21,"105.8608242,21.007408;105.8608577,21.0072043;105.8608768,21.0070744"
22,"105.8521108,20.9955999;105.852329,20.9955773;105.852836,20.9955208;105.8533,20.9954739;105.8541336,20.9953839;105.8545222,20.9953387;105.8550007,20.9952861;105.8552949,20.9952518;105.8556385,20.9952102;105.8560409,20.9951668;105.8561933,20.9951509;105.8565523,20.9951168;105.8567387,20.9950968;105.8569552,20.9950797;105.8572125,20.9950589;105.8572855,20.9950562;105.8574026,20.9950519;105.8576838,20.995049;105.8579603,20.9950589;105.8580852,20.9950675;105.8582675,20.9950875;105.8586931,20.9951459;105.8591785,20.9952349;105.8593795,20.9952717;105.8600535,20.9954582;105.8603743,20.9955514"
23,"105.8546899,21.0088509;105.8546881,21.0087332;105.8546879,21.0086255;105.8546823,21.0084119;105.854679,21.0082867;105.8546699,21.0079371;105.8546564,21.0073922;105.8546436,21.0069998;105.8546504,21.0068918;105.8546658,21.0067839;105.8547098,21.0065563;105.8547668,21.0063208;105.8548849,21.005875;105.8549034,21.0058078;105.8549374,21.0056684;105.85495,21.0055921;105.8549538,21.0055385;105.8549535,21.005497;105.85495,21.005205;105.8549485,21.0048029;105.8549485,21.0044907;105.85495,21.0041704;105.854945,21.0035685;105.8549418,21.0032255;105.8549377,21.0031291;105.8549316,21.0030248;105.8549306,21.0030082"
24,"105.8284704,20.9987271;105.8286514,20.9993345;105.8287239,20.9995734;105.8289036,21.000269"
25,"105.828317,21.0008102;105.8282693,21.0006855;105.8281779,21.0004239;105.8279816,20.999856;105.8278668,20.9995983;105.8279868,20.9993984;105.828155,20.9991284;105.8283598,20.9988818;105.8284704,20.9987271"
26,"105.8271781,21.0298033;105.8271636,21.0298255;105.827134,21.029871;105.8270842,21.0299607;105.8270672,21.0299914;105.8270111,21.0301119;105.8270011,21.0301355;105.8269793,21.0302125;105.8269598,21.0302953;105.8269467,21.0303692;105.8269385,21.0304457;105.8269401,21.0305795;105.8269406,21.0306221;105.8269429,21.0307379;105.8269481,21.0309402;105.8269477,21.0310007;105.826947,21.0310438;105.8269545,21.0314163;105.82696,21.0319289;105.8269751,21.0320439"
27,"105.8342161,21.0321754;105.8344469,21.0332708;105.8344813,21.0334219;105.8345887,21.0339437;105.8346111,21.0340502"
28,"105.8362655,21.0316272;105.836281,21.0317137;105.8363467,21.0320793;105.8364198,21.0324866;105.8364675,21.0327519;105.8366123,21.033558;105.8366338,21.0336776"
29,"105.8561315,21.0216867;105.8561642,21.0217826;105.8563571,21.0224236;105.8565531,21.0230077;105.8566128,21.023165"
30,"105.8615967,21.0195804;105.8616453,21.0196641;105.8616915,21.0197184;105.8617484,21.0197707"
31,"105.8584531,21.0191224;105.8583376,21.0190287;105.8582007,21.0189691;105.8580389,21.0189169;105.8576594,21.0188365;105.8567822,21.0186705;105.8566591,21.0186561"
32,"105.8529519,21.0168194;105.8529685,21.0166273;105.8531233,21.0153899;105.8531376,21.0152821;105.8531603,21.0151517;105.853255,21.0147894;105.8534639,21.0139696;105.853492,21.0138774"
33,"105.8556233,21.0172861;105.8555292,21.0172575;105.8553235,21.0172067;105.8547394,21.0171128;105.8542013,21.0170305;105.8540474,21.0169953;105.8539543,21.0169758;105.8535531,21.0169105;105.8530829,21.0168409;105.8529519,21.0168194"
34,"105.8424924,21.0173642;105.8433952,21.0172849;105.8434371,21.0172805;105.8435857,21.0172651"
35,"105.8459805,21.0399079;105.8459593,21.0398053;105.8458523,21.0392866;105.84583,21.0391785;105.8458005,21.0390353;105.8457486,21.0387839;105.8457182,21.0386364;105.8456593,21.0383507;105.8456003,21.0380648;105.8454918,21.0375308;105.8454675,21.0374209;105.8454411,21.0372928;105.8454067,21.0371265;105.8453541,21.036871;105.8453158,21.0366855;105.8452558,21.0363945;105.8452254,21.0362471;105.8451593,21.035927;105.8451076,21.0356764;105.8450397,21.035347;105.8449379,21.0348636;105.8448884,21.0346259;105.8447958,21.0341848;105.8447768,21.0340917;105.8447602,21.0340173;105.844685,21.0336632;105.8446504,21.0335002;105.8446222,21.0333673;105.8446152,21.0333346;105.844505,21.0328156;105.8444537,21.0325764;105.8443984,21.0323126;105.8443761,21.0322088;105.8443418,21.0320473;105.8443067,21.0318809;105.8442948,21.0318292;105.8442641,21.031681;105.8442457,21.0315949;105.8442121,21.0314374;105.8441733,21.0312532;105.8441669,21.031224;105.8441117,21.0309638;105.8440475,21.0306599;105.8440067,21.0304671;105.8439566,21.030234;105.8439386,21.0301487"
36,"105.8401533,21.0428163;105.8401117,21.0421726;105.8401098,21.0420305;105.8400792,21.0415284;105.8400713,21.0414414;105.8400416,21.0411204;105.840037,21.0410636"
37,"105.8397233,21.0384479;105.8396303,21.0384624;105.8395176,21.03848;105.8392334,21.0385243;105.8375111,21.038793"
38,"105.8474309,21.0132433;105.8476341,21.0132774;105.8481687,21.0133175;105.8482749,21.0133237;105.8484426,21.0133342;105.8486256,21.0133487;105.8486626,21.0133511;105.8488192,21.0133598;105.8490151,21.0133727;105.8491504,21.0133873"
39,"105.8414065,21.0276431;105.8411432,21.0276612;105.840764,21.0276962;105.8404991,21.0277519;105.8404146,21.0277838"
40,"105.8545682,21.0314328;105.8545911,21.0313693;105.8547524,21.0308829;105.8549501,21.0302935;105.854964,21.0302521;105.8553988,21.0290543;105.8554378,21.0289498"
41,"105.8516669,21.02596;105.8514697,21.0260057;105.8506624,21.026236;105.850573,21.0262615;105.8502032,21.0263673;105.8500986,21.0263959"
42,"105.8360086,20.999195;105.8359619,20.9992687;105.8358265,20.9994782;105.8356572,20.9997351;105.8355199,20.9999646;105.8353638,21.0002407;105.8351564,21.0006907;105.8348897,21.0011285;105.834804,21.0012407"
43,"105.8385246,21.0333236;105.8382386,21.0333819;105.8382141,21.0333864;105.8380552,21.0334157;105.837565,21.033506;105.8374934,21.0335192;105.8367733,21.0336518;105.8366338,21.0336776"
44,"105.8318238,21.0287574;105.8318367,21.0288077;105.8319699,21.029207"
45,"105.8307084,21.0115123;105.8307755,21.0110954"
46,"105.8292725,21.0122096;105.8291902,21.0122311;105.828837,21.0123775;105.8287822,21.0124024;105.8286264,21.0124862;105.8285938,21.0125027;105.8284289,21.0126014;105.8283165,21.0126686;105.8281936,21.0127431;105.8280667,21.0128235;105.8279978,21.0128676;105.8279472,21.0128965;105.8277662,21.0130016;105.827148,21.0133393;105.8269985,21.0134231;105.8269306,21.0134586"
47,"105.8439386,21.0301487;105.8429439,21.0303404;105.8428205,21.0303654"
48,"105.7558906,21.0080486;105.7530438,21.0086373;105.7501552,21.0092347;105.7485229,21.0094992;105.7466578,21.0097155;105.7446627,21.0098678"
49,"105.8133858,21.0379433;105.8132616,21.0380599;105.8131699,21.0381217;105.812854,21.0382867;105.8127379,21.0384243;105.8127707,21.0387173;105.8127984,21.0389505;105.8128154,21.0390931;105.8128393,21.0392739;105.8128603,21.0394334;105.8128734,21.0395323;105.8129211,21.0398938;105.8129584,21.0401768;105.8130603,21.0408499;105.8130819,21.0409497;105.8131563,21.0410529;105.8132201,21.0410886;105.8133136,21.041088;105.8134102,21.0410911;105.8135222,21.0411321;105.813621,21.0411908;105.8136318,21.0411981;105.8140445,21.0415078"
50,"105.8200922,21.023869;105.8200255,21.0239382;105.8199881,21.0239746;105.8191819,21.024783;105.8188843,21.0250909;105.8184917,21.0255117;105.818084,21.0259254;105.817994,21.0260299;105.8179211,21.0261313;105.8178944,21.0261798;105.8178775,21.0262105;105.8178486,21.0262885;105.8178335,21.026337;105.8178261,21.0263804;105.8178077,21.0268276;105.8177995,21.0269918;105.8177825,21.0272186;105.8177066,21.0277218;105.8176258,21.0281977;105.8175406,21.0287341;105.8174983,21.0290008;105.8174541,21.0292599;105.8174432,21.0293309;105.8174,21.0296013;105.8173873,21.0296808;105.8173578,21.0298742;105.8173438,21.0299656;105.8173259,21.0300949;105.8173099,21.0301948;105.817284,21.0304018;105.8172607,21.030551"
51,"105.8250728,21.0106684;105.8250128,21.0107629;105.8244837,21.0113735;105.8239175,21.0119573;105.8234373,21.0124676;105.8233114,21.0126032;105.822827,21.0131538;105.8226259,21.0133911;105.8225238,21.0135345"
52,"105.8517888,20.9834709;105.8519418,20.9834699;105.8522413,20.983468;105.852607,20.9834657;105.8529691,20.9834634;105.8535815,20.9834595;105.8540527,20.9834584"
53,"105.7807711,20.9745589;105.7808413,20.974426;105.781147,20.9740448;105.7812288,20.9739479;105.7816159,20.9735095;105.7819137,20.9731527;105.7819769,20.9730749;105.782165,20.972851;105.7823466,20.9726363;105.7825961,20.9723249;105.7828816,20.9719685;105.7829064,20.9719319"
54,"105.8750847,20.9837479;105.8752969,20.9841769;105.8754477,20.9845051;105.8755433,20.9847304;105.8755928,20.9848388;105.8757191,20.9851292;105.8758594,20.9854564;105.875874,20.9854966;105.875926,20.9855934;105.8760332,20.9857577;105.8760705,20.9858157;105.8762705,20.9861495;105.8763513,20.9862902;105.8765214,20.9866026;105.8768253,20.9871609;105.877073,20.9876198"
55,"105.8884076,20.9797088;105.8881876,20.9797394;105.8880414,20.9797597;105.8875605,20.9798535;105.8870764,20.9799117;105.886927,20.9799341;105.8864541,20.9800134;105.8860915,20.9800689;105.8859296,20.980089;105.8857651,20.9801115;105.8856882,20.9801224;105.885492,20.9801474;105.8853042,20.9801786;105.8849072,20.9802279;105.8844395,20.9802744;105.8843794,20.9802823;105.8838929,20.9803464;105.8836529,20.980374;105.8835228,20.9803965;105.8833904,20.9804356;105.8830603,20.9805747;105.8829367,20.9806203;105.8824572,20.9808354;105.8820924,20.9810006;105.8815989,20.9812203;105.8814078,20.9812919;105.8810625,20.9814502;105.880924,20.9815165;105.8807495,20.9815925;105.8806394,20.9816379;105.8805582,20.9816789;105.8803727,20.9817431;105.8798954,20.981938;105.8797645,20.9819873;105.8795196,20.9820795;105.8795074,20.9820839;105.8788009,20.9823385;105.8787381,20.9823611;105.8786977,20.9823757;105.8786117,20.9824088;105.8783166,20.9825178;105.8782613,20.9825389;105.8781688,20.982572;105.8777293,20.9827339;105.877697,20.982745;105.8775147,20.982832;105.8771678,20.9829434;105.8769186,20.9830352;105.8767442,20.9830994;105.8765286,20.9831844;105.8763871,20.9832443;105.8758517,20.9834531;105.875745,20.9834964;105.8755729,20.9835662;105.8750847,20.9837479"
56,"105.8626026,20.9910479;105.8627107,20.9910538"
57,"105.8688229,20.9637946;105.8687997,20.9639745;105.8687786,20.9641394"
58,"105.8705048,20.9699235;105.8705889,20.9698563;105.8707922,20.9696338;105.8710324,20.9693331;105.8710959,20.9692558;105.8713149,20.9689162;105.871345,20.9688638;105.8715243,20.96858;105.8715833,20.9684357;105.8718259,20.9678327;105.8718438,20.9678021;105.8718694,20.967774;105.8719061,20.9677476;105.8720207,20.9677036;105.8720731,20.9676681;105.8721006,20.9676468;105.8721269,20.9676128;105.8722108,20.9674405;105.8723948,20.9671574;105.8725432,20.9669398;105.8725782,20.9668951;105.8727099,20.9667272;105.8727675,20.9666835;105.8729245,20.9665318;105.8730045,20.9664715;105.8731273,20.9663565;105.8732861,20.9661897;105.8735339,20.9659683;105.8736411,20.9658729;105.8737662,20.9657614;105.8737931,20.9657351;105.873951,20.9656237;105.8740408,20.9655706;105.8741359,20.9655143;105.8742407,20.9654597;105.8743608,20.9654079"
59,"105.8682678,20.9658128;105.870569,20.9670342;105.8707763,20.9671512;105.8709154,20.9672298;105.8715879,20.9676103;105.8718694,20.967774"
60,"105.8690839,20.9595427;105.8689433,20.9596412;105.8685633,20.9597857;105.8683577,20.9598888;105.8683006,20.9602101;105.8682346,20.9604484;105.8681493,20.9607477;105.868074,20.9609784;105.8680123,20.9612635;105.8679917,20.9613227;105.8679314,20.9614955;105.8677989,20.9616928;105.8677463,20.9617565;105.8676336,20.9619638;105.8676257,20.962071;105.8676116,20.9622609;105.8675113,20.9624252;105.8674786,20.9624888;105.8674365,20.9625768;105.8674085,20.9626457;105.8673584,20.9627485;105.8673239,20.9628337;105.8672807,20.9628798;105.8672173,20.9629081;105.8670852,20.9629447;105.8669749,20.9629788;105.8669114,20.9630694;105.8668536,20.9632059;105.866818,20.9634904;105.8667925,20.9636495"
61,"105.8514097,21.008583;105.8515988,21.0085743;105.8519979,21.0085599"
62,"105.8444811,20.9612379;105.8442351,20.9612041;105.8438974,20.9611677;105.8437249,20.9611469;105.843082,20.9610696;105.8426872,20.9610135;105.8422455,20.9609519"
63,"105.7207017,21.0140647;105.7206745,21.0138045"
64,"105.8479794,20.9453301;105.8478816,20.9453611;105.8477833,20.9453558;105.8476143,20.9453467;105.8474631,20.9453341;105.8471211,20.9453072;105.8460397,20.945234;105.8459374,20.9452245"
